horizon,coefficient,std_error,n_obs,measure,panel_file,t_pre
0,-0.3079073256262167,0.04858021798690758,68064,leverage,mTransitionPanel_100.csv,100
1,-0.5613311021205617,0.0829583637270395,66274,leverage,mTransitionPanel_100.csv,100
2,-0.7587482375495238,0.12595092990420687,64543,leverage,mTransitionPanel_100.csv,100
3,-0.939354856879831,0.15259595102660042,62853,leverage,mTransitionPanel_100.csv,100
4,-1.1045101747983004,0.16395739080339936,61195,leverage,mTransitionPanel_100.csv,100
5,-1.3492969653329026,0.19822444821833252,59588,leverage,mTransitionPanel_100.csv,100
6,-1.5667828565737474,0.23276855096830204,58024,leverage,mTransitionPanel_100.csv,100
7,-1.7056574955233557,0.23020948008944547,56499,leverage,mTransitionPanel_100.csv,100
8,-1.8066979938529244,0.2424739329833678,55020,leverage,mTransitionPanel_100.csv,100
9,-1.8356109581242608,0.2652741646957664,53570,leverage,mTransitionPanel_100.csv,100
10,-1.7473506117012945,0.2638273306963008,52160,leverage,mTransitionPanel_100.csv,100
11,-1.4641312642516762,0.2241754360746781,50782,leverage,mTransitionPanel_100.csv,100
12,NA,NA,49448,leverage,mTransitionPanel_100.csv,100
13,NA,NA,48148,leverage,mTransitionPanel_100.csv,100
0,0.3102049179266063,0.048759241503155894,68064,default_distance,mTransitionPanel_100.csv,100
1,0.563737609632377,0.08315714151978187,66274,default_distance,mTransitionPanel_100.csv,100
2,0.7610633100374875,0.12622476798462903,64543,default_distance,mTransitionPanel_100.csv,100
3,0.9418790385024043,0.15289985859998415,62853,default_distance,mTransitionPanel_100.csv,100
4,1.107043304670891,0.1642737400194814,61195,default_distance,mTransitionPanel_100.csv,100
5,1.3520286625601399,0.19856177093861765,59588,default_distance,mTransitionPanel_100.csv,100
6,1.569819418122976,0.23311902824287295,58024,default_distance,mTransitionPanel_100.csv,100
7,1.7085323632012424,0.23053534934047173,56499,default_distance,mTransitionPanel_100.csv,100
8,1.8096877300003877,0.24282696272402135,55020,default_distance,mTransitionPanel_100.csv,100
9,1.8386215524898468,0.26562944737855043,53570,default_distance,mTransitionPanel_100.csv,100
10,1.7501456159645818,0.2640909053185091,52160,default_distance,mTransitionPanel_100.csv,100
11,1.4663964222712744,0.22446064326424617,50782,default_distance,mTransitionPanel_100.csv,100
12,NA,NA,49448,default_distance,mTransitionPanel_100.csv,100
13,NA,NA,48148,default_distance,mTransitionPanel_100.csv,100
0,-0.2900847641911721,0.06002908316936523,65889,leverage,mTransitionPanel_108.csv,108
1,-0.6660525154249628,0.10456802400233026,64133,leverage,mTransitionPanel_108.csv,108
2,-0.8977101189805686,0.12817457085316908,62428,leverage,mTransitionPanel_108.csv,108
3,-1.1541469699827143,0.1407641527312639,60767,leverage,mTransitionPanel_108.csv,108
4,-1.184743271889009,0.14526069136184247,59145,leverage,mTransitionPanel_108.csv,108
5,-1.417679304032332,0.1684260871035864,57578,leverage,mTransitionPanel_108.csv,108
6,-1.6228064140918081,0.18733720937807305,56051,leverage,mTransitionPanel_108.csv,108
7,-1.931723641165277,0.2181587962269083,54567,leverage,mTransitionPanel_108.csv,108
8,-2.0940746650605786,0.238849042181673,53115,leverage,mTransitionPanel_108.csv,108
9,-2.042875209962782,0.24908542669243047,51699,leverage,mTransitionPanel_108.csv,108
